Temps;EA0
0;-2.33699318766594
0.021;-2.34199531376362
0.042;-2.3469974398613
0.063;-2.35199956595898
0.084;-2.35199956595898
0.105;-2.3469974398613
0.126;-2.35700169205666
0.147;-2.35199956595898
0.168;-2.35199956595898
0.189;-2.35199956595898
0.21;-2.35199956595898
0.231;-2.35199956595898
0.252;-2.35199956595898
0.273;-2.35199956595898
0.294;-2.35700169205666
0.315;-2.36200381815434
0.336;-2.36200381815434
0.357;-2.36200381815434
0.378;-2.36200381815434
0.399;-2.36700594425201
0.42;-2.36700594425201
0.441;-2.37200807034969
0.462;-2.35199956595898
0.483;-2.3219868093729
0.504;-2.28196980059147
0.525;-2.226946413517
0.546;-2.14191026985645
0.567;-2.05687412619591
0.588;-1.95182947814465
0.609;-1.83177845180035
0.63;-1.70172317326069
0.651;-1.54665726423264
0.672;-1.40659773349762
0.693;-1.25153182446957
0.714;-1.0764574110508
0.735;-0.896380871534348
0.756;-0.721306458115578
0.777;-0.556236296892166
0.798;-0.406172513961792
0.819;-0.24110235273838
0.84;-0.0710300654172897
0.861;0.109046474099159
0.882;0.294125139713287
0.903;0.479203805327415
0.924;0.664282470941544
0.945;0.839356884360313
0.966;1.01443129777908
0.987;1.19450783729553
1.008;1.36458012461662
1.029;1.50964178144932
1.05;1.64970131218433
1.071;1.78475871682167
1.092;1.89480549097061
1.113;1.98984588682652
1.134;2.07988415658474
1.155;2.14991392195225
1.176;2.19493305683136
1.197;2.23495006561279
1.218;2.24495431780815
1.239;2.23995219171047
1.26;2.21994368731976
1.281;2.17492455244064
1.302;2.11990116536617
1.323;2.04486927390099
1.344;1.95483100414276
1.365;1.85979060828686
1.386;1.71973107755184
1.407;1.58967579901218
1.428;1.45461839437485
1.449;1.29455035924912
1.47;1.12447807192802
1.491;0.944401532411575
1.512;0.769327118992806
1.533;0.594252705574036
1.554;0.419178292155266
1.575;0.224095374345779
1.596;0.0240103304386139
1.617;-0.136057704687119
1.638;-0.306129992008209
1.659;-0.461195901036263
1.68;-0.621263936161995
1.701;-0.791336223483086
1.722;-0.956406384706497
1.743;-1.12647867202759
1.764;-1.291548833251
1.785;-1.45161686837673
1.806;-1.59167639911175
1.827;-1.73173592984676
1.848;-1.8667933344841
1.869;-1.97684010863304
1.89;-2.07688263058662
1.911;-2.15191452205181
1.932;-2.226946413517
1.953;-2.27696767449379
1.974;-2.31698468327522
1.995;-2.33699318766594
2.016;-2.34199531376362
2.037;-2.33199106156826
2.058;-2.30698043107986
2.079;-2.26196129620075
2.1;-2.2019357830286
2.121;-2.12690389156342
2.142;-2.04686987400055
2.163;-1.94182522594929
2.184;-1.82177419960499
2.205;-1.68671679496765
2.226;-1.54665726423264
2.247;-1.39659348130226
2.268;-1.24652969837189
2.289;-1.06145103275776
2.31;-0.891378745436668
2.331;-0.726308584213257
2.352;-0.556236296892166
2.373;-0.406172513961792
2.394;-0.24610447883606
2.415;-0.081034317612648
2.436;0.0940400958061218
2.457;0.27911876142025
2.478;0.469199553132057
2.499;0.644273966550827
2.52;0.819348379969597
