Temps;EA0
0;-2.22194428741932
0.021;-2.20693790912628
0.042;-2.18692940473557
0.063;-2.17692515254021
0.084;-2.16692090034485
0.105;-2.15691664814949
0.126;-2.14191026985645
0.147;-2.12690389156342
0.168;-2.12690389156342
0.189;-2.12690389156342
0.21;-2.12190176546574
0.231;-2.12190176546574
0.252;-2.12690389156342
0.273;-2.14191026985645
0.294;-2.15191452205181
0.315;-2.17692515254021
0.336;-2.19693365693092
0.357;-2.22194428741932
0.378;-2.23695066571236
0.399;-2.26196129620075
0.42;-2.28196980059147
0.441;-2.29197405278683
0.462;-2.3219868093729
0.483;-2.33699318766594
0.504;-2.35700169205666
0.525;-2.37701019644737
0.546;-2.39201657474041
0.567;-2.39701870083809
0.588;-2.40702295303345
0.609;-2.41702720522881
0.63;-2.42202933132648
0.651;-2.42703145742416
0.672;-2.43703570961952
0.693;-2.45204208791256
0.714;-2.45704421401024
0.735;-2.46204634010792
0.756;-2.46204634010792
0.777;-2.4670484662056
0.798;-2.4670484662056
0.819;-2.4670484662056
0.84;-2.4670484662056
0.861;-2.4670484662056
0.882;-2.4670484662056
0.903;-2.46204634010792
0.924;-2.46204634010792
0.945;-2.45704421401024
0.966;-2.46204634010792
0.987;-2.4670484662056
1.008;-2.47705271840096
1.029;-2.48205484449863
1.05;-2.48205484449863
1.071;-2.48705697059631
1.092;-2.49205909669399
1.113;-2.49706122279167
1.134;-2.49706122279167
1.155;-2.50206334888935
1.176;-2.51206760108471
1.197;-2.51206760108471
1.218;-2.52207185328007
1.239;-2.52207185328007
1.26;-2.51706972718239
1.281;-2.51706972718239
1.302;-2.52207185328007
1.323;-2.52707397937775
1.344;-2.52707397937775
1.365;-2.52707397937775
1.386;-2.53207610547543
1.407;-2.53207610547543
1.428;-2.53207610547543
1.449;-2.53207610547543
1.47;-2.52707397937775
1.491;-2.5370782315731
1.512;-2.53207610547543
1.533;-2.54208035767078
1.554;-2.54208035767078
1.575;-2.54708248376846
1.596;-2.54208035767078
1.617;-2.50206334888935
1.638;-2.4420378357172
1.659;-2.36200381815434
1.68;-2.25695917010307
1.701;-2.13690814375877
1.722;-1.9868443608284
1.743;-1.81176994740963
1.764;-1.63169340789318
1.785;-1.45161686837673
1.806;-1.23152332007885
1.827;-1.01643189787865
1.848;-0.806342601776123
1.869;-0.616261810064316
1.89;-0.411174640059471
1.911;-0.211089596152306
1.932;0.0140060782432556
1.953;0.249106004834175
1.974;0.45419317483902
1.995;0.664282470941544
2.016;0.879373893141747
2.037;1.09446531534195
2.058;1.2745418548584
2.079;1.43961201608181
2.1;1.59467792510986
2.121;1.72473320364952
2.142;1.83978210389614
2.163;1.92982037365437
2.184;1.98984588682652
2.205;2.02486076951027
2.226;2.03486502170563
2.247;2.00485226511955
2.268;1.95483100414276
2.289;1.88480123877525
2.31;1.77975659072399
2.331;1.65470343828201
2.352;1.50964178144932
2.373;1.34957374632359
2.394;1.17449933290482
2.415;0.97441428899765
2.436;0.754320740699768
2.457;0.534227192401886
2.478;0.319135770201683
2.499;0.0890379697084427
2.52;-0.12605345249176
2.541;-0.341144874691963
2.562;-0.53122566640377
2.583;-0.721306458115578
2.604;-0.911387249827385
2.625;-1.10146804153919
2.646;-1.30155308544636
2.667;-1.50163812935352
2.688;-1.67171041667461
2.709;-1.82677632570267
2.73;-1.98184223473072
2.751;-2.11189751327038
2.772;-2.21694216132164
2.793;-2.29697617888451
2.814;-2.35700169205666
2.835;-2.39701870083809
2.856;-2.40702295303345
2.877;-2.39201657474041
2.898;-2.36700594425201
2.919;-2.30698043107986
2.94;-2.23695066571236
2.961;-2.13690814375877
2.982;-2.00685286521912
3.003;-1.85678908228874
3.024;-1.71172742545605
3.045;-1.54165513813496
3.066;-1.36658072471619
3.087;-1.16149355471134
3.108;-0.961408510804176
3.129;-0.76632559299469
3.15;-0.581246927380562
3.171;-0.396168261766434
3.192;-0.206087470054626
3.213;0.00900395214557648
3.234;0.229097500443459
3.255;0.429182544350624
3.276;0.62926758825779
3.297;0.834354758262634
3.318;1.02443554997444
3.339;1.20951421558857
3.36;1.34957374632359
3.381;1.49963752925396
3.402;1.61968855559826
3.423;1.7297353297472
3.444;1.80476722121239
3.465;1.85478848218918
3.486;1.88480123877525
3.507;1.88480123877525
3.528;1.86979486048222
3.549;1.81977359950542
3.57;1.74474170804024
3.591;1.64970131218433
3.612;1.52965028584003
3.633;1.38959075510502
3.654;1.23452484607697
3.675;1.06945468485355
3.696;0.879373893141747
3.717;0.669284597039223
3.738;0.474201679229736
3.759;0.274116635322571
3.78;0.0540230870246887
3.801;-0.151064082980156
3.822;-0.341144874691963
3.843;-0.521221414208412
3.864;-0.696295827627182
3.885;-0.886376619338989
3.906;-1.0764574110508
3.927;-1.2665382027626
3.948;-1.45161686837673
3.969;-1.61668702960014
3.99;-1.75674656033516
4.011;-1.89680609107018
4.032;-2.02185924351215
4.053;-2.13190601766109
4.074;-2.2019357830286
4.095;-2.25695917010307
4.116;-2.29197405278683
4.137;-2.30197830498219
4.158;-2.28697192668915
4.179;-2.26196129620075
4.2;-2.20693790912628
4.221;-2.12690389156342
4.242;-2.03186349570751
4.263;-1.90180821716785
4.284;-1.76174868643284
4.305;-1.62168915569782
4.326;-1.47162537276745
4.347;-1.28654670715332
4.368;-1.09146378934383
4.389;-0.911387249827385
4.41;-0.716304332017898
4.431;-0.551234170794487
4.452;-0.376159757375717
4.473;-0.18607896566391
4.494;0.00900395214557648
4.515;0.224095374345779
4.536;0.414176166057587
4.557;0.604256957769394
4.578;0.794337749481201
4.599;0.979416415095329
4.62;1.1544908285141
4.641;1.28954823315144
4.662;1.41960351169109
4.683;1.53465241193771
4.704;1.62969280779362
4.725;1.69972257316113
4.746;1.74974383413792
4.767;1.77475446462631
4.788;1.76975233852863
4.809;1.74474170804024
4.83;1.69472044706345
4.851;1.61968855559826
4.872;1.52464815974236
4.893;1.41460138559341
4.914;1.28454610705376
4.935;1.13948445022106
4.956;0.969412162899971
4.977;0.784333497285843
4.998;0.594252705574036
5.019;0.409174039959908
5.04;0.2190932482481
5.061;0.0190082043409348
5.082;-0.18607896566391
5.103;-0.371157631278038
5.124;-0.541229918599129
5.145;-0.70630007982254
5.166;-0.876372367143631
5.187;-1.06145103275776
5.208;-1.24652969837189
5.229;-1.42660623788834
5.25;-1.57166789472103
5.271;-1.71172742545605
5.292;-1.83678057789803
5.313;-1.95683160424232
5.334;-2.04686987400055
5.355;-2.12690389156342
5.376;-2.17192302644253
5.397;-2.2019357830286
5.418;-2.21194003522396
5.439;-2.19693365693092
5.46;-2.16692090034485
5.481;-2.1068953871727
5.502;-2.03186349570751
5.523;-1.93182097375393
5.544;-1.81677207350731
5.565;-1.68671679496765
5.586;-1.55165939033031
5.607;-1.3865892291069
5.628;-1.21651694178581
5.649;-1.03143827617168
5.67;-0.856363862752914
5.691;-0.676287323236465
5.712;-0.516219288110733
5.733;-0.346147000789642
5.754;-0.166070461273193
5.775;0.029012456536293
5.796;0.224095374345779
5.817;0.414176166057587
5.838;0.589250579476356
5.859;0.764324992895126
5.88;0.949403658509254
5.901;1.10947169363499
5.922;1.24953122437
5.943;1.35957799851894
5.964;1.46962477266788
5.985;1.55466091632843
6.006;1.61968855559826
6.027;1.66970981657505
6.048;1.68971832096577
6.069;1.68471619486809
6.09;1.65470343828201
6.111;1.59968005120754
6.132;1.52464815974236
6.153;1.43460988998413
6.174;1.32956524193287
6.195;1.19950996339321
6.216;1.04944618046284
6.237;0.889378145337105
6.258;0.709301605820656
6.279;0.539229318499565
6.3;0.354150652885437
6.321;0.16406986117363
6.342;-0.0210088044404984
6.363;-0.211089596152306
6.384;-0.386164009571075
6.405;-0.556236296892166
6.426;-0.711302205920219
6.447;-0.88137449324131
6.468;-1.04644465446472
6.489;-1.22151906788349
6.51;-1.3865892291069
6.531;-1.53665301203728
6.552;-1.66170616447926
6.573;-1.77675506472588
6.594;-1.88179971277714
6.615;-1.97183798253536
6.636;-2.04186774790287
6.657;-2.09188900887966
6.678;-2.11189751327038
6.699;-2.12190176546574
6.72;-2.10189326107502
6.741;-2.06687837839127
6.762;-2.00685286521912
6.783;-1.93182097375393
6.804;-1.82677632570267
6.825;-1.71672955155373
6.846;-1.59667852520943
